Codigo,Descripcion,PrecioVenta,PrecioVentaEspecial
17071,Super R.Oil Multigrado SL15w40 950 ML,57,65.5
17072,Super R.Oil Multigrado.SL15w40      5 L,240,269
17075,Super R.Oil Multigrado SL15w40     19 L,992,"1,102.00"
17076,Super R.Oil Multigrado SL 15w40   208 L,"10,426.00","11,585.00"
17079,"Super R.Oil Multigrado SL 15w40 1,000 Lts.",0,0
17081,Super R.Oil Multigrado SL 20w50  950 ML,57,65.5
17082,Super R.Oil Multigrado SL 20w50     5 L,270,299
17085,Super R.Oil Multigrado SL 20w50    19 L,992,"1,102.00"
17086,Super R.Oil Multigrado SL 20W50   208 L,"10,426.00","11,585.00"
17100,"Super R.Oil Multigrado P/Camionetas + 100,000Km 950ml.",50,55
17104,"Super R.Oil Multigrado P/Camionetas + 100,000Km  5 L.",240,264
17106,"Super R.Oil Multigrado P/Camionetas + 100,000Km Tambores","10,426.00","11,350.00"
17121,Racing Oil Monogrado SL BIOS SAE40 950 ML BRICK POUCH,50.6,56
17131,Super R.Oil Monogrado SL SAE 40 Heavy Duty   950 ML.,57,62
17132,Super R.Oil Monogrado SL SAE 40 Heavy Duty Doypack   950 ML.,48,53
17221,Racing Oil Monogrado SF/CC SAE 40         950 ML,45,50
17300,Super R.Oil Multigrado Alto Km. SAE 25W50 950 ML,50,55
17300A,Super R.Oil Multigrado SL +100 km Repara/Fugas 950 ML,54.17,54.17
17302,Super R.Oil Multigrado SL Alto Klm. SAE 25W50 5 L.,270,299
17302A,Super R.Oil Multigrado SL+100 Repara Fugas  5L.,0,0
17303,Super R.Oil Multigrado SL Alto Km. SAE 25W50 Doy Pack,48,53
17305,Super R.Oil Multigrado SL+100 Km 25W50 19 LT,893,"1,013.00"
17306,Super R. Oil Multigrado P/+ 100 Km SAE 25W50 208 LT,"10,426.00","11,350.00"
17319,Diesel Oil Multigrado CH-4 SAE 15w40      19 L,"1,081.00","1,201.00"
17324,Racing Oil Monogrado SF/CC SAE 40           5 L,230,250
17325,Racing Oil Monogrado SF/CC SAE 40          19 L,850,940
17326,Racing Oil Monogrado SF/CC SAE 40       208 L,"8,320.00","9,240.00"
17336,Diesel Oil Multigrado CH-4 SAE 15w40     208 L,"11,358.00","12,620.00"
17339,Diesel Oil Multigrado CH-4 15W 40 Contenedor,"44,886.60","49,873.00"
17345,Diesel Oil Multigrado CH-4/SJ  SAE 20w50  19 L,"1,081.00","1,201.00"
17346,Diesel Oil Multigrado CH-4/SJ SAE 20w50   208 L,"11,358.00","12,620.00"
17361,Super R.Oil Multigrado SL SAE 25w50 P/Alto Km.,57,65.5
17374,Racing Oil Monogrado SF/CC SAE 50           5 L,230,250
17375,Racing Oil Monogrado SF/CC SAE 50          19 L,850,940
17376,Racing Oil Monogrado SF/CC SAE 50         208 L,"8,580.00","10,800.00"
17396,Racing Oil Multigrado SF/CC SAE 20W50   208 L,"8,530.00","9,575.00"
17398,Racing Oil Multigrado SF/CC SAE 20w50   950 ML,46,51
17399,Racing Oil Multigrado SF/CC SAE 20w50       19L,870,960
17402,Gear Oil GL-1 SAE 90        950 ML,45.5,50.5
17405,Gear Oil GL-1 SAE 90        19 L,820,912
17406,Gear Oil GL-1 SAE 90       208 L,"8,008.00","8,611.00"
17411,Gear Oil GL-1 SAE 140     950 ML,45.5,50.5
17415,Gear Oil GL-1 SAE 140       19 L,820,912
17416,Gear Oil GL-1 SAE 140      208 L,"8,621.00","9,579.00"
17421,Gear Oil GL-1 SAE 250     950 ML,45.5,50.5
17425,Gear Oil GL.1 SAE 250        19 L,820,912
17426,Gear Oil GL-1 SAE 250      208 L,"8,621.00","9,579.00"
17435,Gear Oil GL-4 SAE   90       19 L,820,850
17445,Gear Oil GL-4 SAE 140       19 L,820,850
17446,Gear Oil GL-4 SAE 140     208 L,"8,200.00","8,800.00"
17455,Gear Oil GL-4 SAE 250       19 L,820,850
17461,Gear Oil GL-5 SAE 80W90 950 ML,56.8,61.5
17465,Gear Oil GL-5 SAE 80w90     19 L,"1,083.00","1,173.00"
17466,Gear Oil GL-5 SAE 80w90   208 L,"11,384.00","12,322.00"
17471,Gear Oil GL-5 SAE 85w140   950 ML,56.8,63
17475,Gear Oil GL-5 SAE 85w140   19 L,"1,083.00","1,203.00"
17476,Gear Oil GL-5 SAE 85w140  208 L,"11,384.00","12,650.00"
17521,Racing Oil Monogrado SF/CC SAE 50        950ML,45,50
17625,Diesel Premium Monogrado CD 11 SAE 40      19 L,850,960
17630,Diesel Oil Monogrado CF-2 SAE 40      950 ML,42,45
17634,Diesel Oil Monogrado CF-2 SAE 40            5 L,200,220
17635,Diesel Oil Monogrado CF-2 SAE 40          19 L,862,957
17636,Diesel Oil Monogrado CF/CF-2 SAE 40   208 L,"8,924.00","9,915.00"
17639,"Diesel Oil CF SAE 40    1,000 Lts.","36,800.00","39,635.00"
17640,Diesel Oil CF-2 SAE 50      950 ML,42,49.5
17644,Diesel Oil CF-2 SAE 50           5 L,200,220
17645,Diesel Oil Monogrado CF-2 SAE 50    19 L,862,957
17646,Diesel Oil CF/CF-2 SAE 50  208 L,"8,924.00","9,915.00"
17649,Diesel Oil CF SAE 50 Contenedor 1000L,"41,231.00","45,812.00"
17662,Diesel Oil CI-4 SAE 15w40    5 L,260,282
17665,Diesel Oil CI-4 SAE 15w40   19 L,"1,133.00","1,259.00"
