Codigo,Descripcion,PrecioVenta,PrecioVentaEspecial
D17642,DIATOR DISLUB CF/CF-2 SAE 50 4LTS,146,162.2
D17645,DIATOR DISLUB CF/CF-2 SAE 50  19 LTS,700,777.5
D17647,DIATOR DISLUB SAE 50 CF/CF2 200LTS,"7,000.00","7,778.00"
D17711,DIATOR HIDRAULICO DH 303 950 ML,36,40
D17712,DIATOR HIDRAULICO DH 303 4 LT,140,155.6
D17715,DIATOR HIDRAULICO DH 303 19L,660,733.3
D17717,DIATOR HIDRAULICO DH 303 200 L,"6,900.00","7,666.00"
D18711,DIATOR GRASA BENTONA ALTA TEMPERATURA NLGI-3 450 GR,24,26.7
D18712,DIATOR GRASA BENTONA ALTA TEMPERATURA NLGI-3 3.5 LG,180,200
D18715,DIATOR GRASA BENTONA ALTA TEMPERATURA NLGI-3 16 KG,820,911
D18718,DIATOR GRASA BENTONA ALTA TEMPERATURA NLGI-3 178 KG,"8,300.00","9,222.00"
D18811,DIATOR GRASA CHASIS NLGI-2 450 GRS,17.5,19.5
D18812,DIATOR GRASA CHASIS NLGI-2 3.5 KG,128,142.2
D18815,DIATOR GRASA CHASIS NLGI-2 16 KG,600,666.7
D18818,DIATOR GRASA CHASIS NLGI-2 178 KG,"6,200.00","6,889.00"
D18832,DIATOR GRASA CHASIS NLGI-3 3.5 KG,140,155.5
D18835,DIATOR GRASA CHASIS NLGI-3  16 KG,650,722
D18838,DIATOR GRASA CHASIS NLGI-3 178 KG,"6,500.00","7,222.00"
D19025,DIATOR  HIDRAULICO 300 19 LTS,695,772
D19115,DIATOR HIDRAULICO ISO 68 19 LTS,695,772
D22205,Lubrichasis Gotero 10,600,666
D2300,SHAMPOO SUPER 950 ML,28,31.1
